school_number,date,url
5127,2018-12-21,https://www.ero.govt.nz/review-reports/papakura-north-kindergarten-21-12-2018/
5128,2019-01-17,https://www.ero.govt.nz/review-reports/park-estate-kindergarten-17-01-2019/
5128,2014-09-17,https://www.ero.govt.nz/review-reports/park-estate-kindergarten-17-09-2014/
5129,2018-02-09,https://www.ero.govt.nz/review-reports/pukekohe-central-kindergarten-09-02-2018/
5129,2014-09-17,https://www.ero.govt.nz/review-reports/pukekohe-central-kindergarten-17-09-2014/
5130,2018-02-08,https://www.ero.govt.nz/review-reports/redoubt-north-kindergarten-08-02-2018/
5130,2013-08-28,https://www.ero.govt.nz/review-reports/redoubt-north-kindergarten-28-08-2013/
5131,2013-06-14,https://www.ero.govt.nz/review-reports/roscommon-kindergarten-14-06-2013/
5131,2016-12-16,https://www.ero.govt.nz/review-reports/roscommon-kindergarten-16-12-2016/
5132,2013-02-11,https://www.ero.govt.nz/review-reports/settlement-road-kindergarten-11-02-2013/
5132,2016-12-16,https://www.ero.govt.nz/review-reports/settlement-road-kindergarten-16-12-2016/
5133,2016-12-22,https://www.ero.govt.nz/review-reports/waiuku-kindergarten-22-12-2016/
5133,2013-05-24,https://www.ero.govt.nz/review-reports/waiuku-kindergarten-24-05-2013/
5134,2017-10-06,https://www.ero.govt.nz/review-reports/aberdeen-kindergarten-06-10-2017/
5134,2014-11-06,https://www.ero.govt.nz/review-reports/aberdeen-kindergarten-06-11-2014/
5135,2014-11-05,https://www.ero.govt.nz/review-reports/bellmont-avenue-kindergarten-05-11-2014/
5135,2018-02-16,https://www.ero.govt.nz/review-reports/bellmont-avenue-kindergarten-16-02-2018/
5136,2014-08-13,https://www.ero.govt.nz/review-reports/cambridge-kindergarten-13-08-2014/
5136,2018-12-21,https://www.ero.govt.nz/review-reports/cambridge-kindergarten-21-12-2018/
5137,2014-08-13,https://www.ero.govt.nz/review-reports/chartwell-kindergarten-13-08-2014/
5137,2017-10-17,https://www.ero.govt.nz/review-reports/chartwell-kindergarten-17-10-2017/
5138,2014-08-13,https://www.ero.govt.nz/review-reports/deanwell-kindergarten-13-08-2014/
5138,2018-12-20,https://www.ero.govt.nz/review-reports/deanwell-kindergarten-20-12-2018/
5139,2014-11-05,https://www.ero.govt.nz/review-reports/dinsdale-kindergarten-05-11-2014/
5139,2018-12-20,https://www.ero.govt.nz/review-reports/dinsdale-kindergarten-20-12-2018/
5140,2014-08-13,https://www.ero.govt.nz/review-reports/fairfield-kindergarten-13-08-2014/
5140,2018-12-21,https://www.ero.govt.nz/review-reports/fairfield-kindergarten-21-12-2018/
5141,2014-11-06,https://www.ero.govt.nz/review-reports/frankton-kindergarten-06-11-2014/
5141,2018-11-26,https://www.ero.govt.nz/review-reports/frankton-kindergarten-26-11-2018/
5142,2014-11-06,https://www.ero.govt.nz/review-reports/galbraith-kindergarten-06-11-2014/
5142,2018-12-20,https://www.ero.govt.nz/review-reports/galbraith-kindergarten-20-12-2018/
5143,2014-11-05,https://www.ero.govt.nz/review-reports/grandview-kindergarten-05-11-2014/
5143,2018-12-20,https://www.ero.govt.nz/review-reports/grandview-kindergarten-20-12-2018/
5144,2014-11-05,https://www.ero.govt.nz/review-reports/hamilton-west-kindergarten-05-11-2014/
5144,2018-01-22,https://www.ero.govt.nz/review-reports/hamilton-west-kindergarten-22-01-2018/
5145,2015-02-03,https://www.ero.govt.nz/review-reports/hillcrest-kindergarten-03-02-2015/
5145,2018-12-20,https://www.ero.govt.nz/review-reports/hillcrest-kindergarten-20-12-2018/
5146,2014-08-13,https://www.ero.govt.nz/review-reports/hukanui-kindergarten-13-08-2014/
5146,2017-10-17,https://www.ero.govt.nz/review-reports/hukanui-kindergarten-17-10-2017/
